"Run","Assay Type","AvgSpotLen","Bases","BioProject","BioSample","BioSampleModel","Bytes","Center Name","Consent","Cultivar","DATASTORE filetype","DATASTORE provider","DATASTORE region","dev_stage","Experiment","geo_loc_name_country","geo_loc_name_country_continent","geo_loc_name","Instrument","Library Name","LibraryLayout","LibrarySelection","LibrarySource","Number","Organism","Platform","ReleaseDate","Sample Name","SRA Study","tissue"
"SRR5891637","WGS",300,6026108700,"PRJNA393611","SAMN07341575","Plant",2259424599,"YUNNAN AGRICULTURAL UNIVERSITY","public","Beimei 4N","fastq,sra","gs,s3","s3.us-east-1,gs.US","not applicable","SRX3057639","uncalculated","uncalculated","not collected","Illumina HiSeq 4000","TA-138","PAIRED","RANDOM","GENOMIC",10372,"Vitis","ILLUMINA","2019-03-22T00:00:00Z","TA-138","SRP114740","leaf"
"SRR5891638","WGS",300,5436354000,"PRJNA393611","SAMN07341574","Plant",2114453352,"YUNNAN AGRICULTURAL UNIVERSITY","public","Beihong 4N","sra,fastq","gs,s3","gs.US,s3.us-east-1","not applicable","SRX3057638","uncalculated","uncalculated","not collected","Illumina HiSeq 4000","TA-226","PAIRED","RANDOM","GENOMIC",10371,"Vitis","ILLUMINA","2019-03-22T00:00:00Z","TA-226","SRP114740","leaf"
"SRR5891639","WGS",300,5507541300,"PRJNA393611","SAMN07341577","Plant",2139063889,"YUNNAN AGRICULTURAL UNIVERSITY","public","Bimeijia","sra,fastq","gs,s3","s3.us-east-1,gs.US","not applicable","SRX3057637","uncalculated","uncalculated","not collected","Illumina HiSeq 4000","TA-263","PAIRED","RANDOM","GENOMIC",10374,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-263","SRP114740","leaf"
"SRR5891640","WGS",300,12540607200,"PRJNA393611","SAMN07341576","Plant",4847305218,"YUNNAN AGRICULTURAL UNIVERSITY","public","Benibarao","fastq,sra","s3,gs","s3.us-east-1,gs.US","not applicable","SRX3057636","uncalculated","uncalculated","not collected","Illumina HiSeq 4000","TA-252","PAIRED","RANDOM","GENOMIC",10373,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-252","SRP114740","leaf"
"SRR5891641","WGS",300,11039741400,"PRJNA393611","SAMN07341579","Plant",4003590091,"YUNNAN AGRICULTURAL UNIVERSITY","public","Black ballade (4N)","fastq,sra","s3,gs","gs.US,s3.us-east-1","not applicable","SRX3057635","uncalculated","uncalculated","not collected","Illumina HiSeq 4000","TA-28","PAIRED","RANDOM","GENOMIC",10376,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-28","SRP114740","leaf"
"SRR5891642","WGS",300,8085150900,"PRJNA393611","SAMN07341578","Plant",2986050258,"YUNNAN AGRICULTURAL UNIVERSITY","public","Black Baladi","fastq,sra","gs,s3","gs.US,s3.us-east-1","not applicable","SRX3057634","uncalculated","uncalculated","not collected","Illumina HiSeq 4000","TA-93","PAIRED","RANDOM","GENOMIC",10375,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-93","SRP114740","leaf"
"SRR5891643","WGS",300,7558249200,"PRJNA393611","SAMN07341581","Plant",2987014520,"YUNNAN AGRICULTURAL UNIVERSITY","public","Bujiesuli","sra,fastq","gs,s3","gs.US,s3.us-east-1","not applicable","SRX3057633","uncalculated","uncalculated","not collected","Illumina HiSeq 4000","TA-240","PAIRED","RANDOM","GENOMIC",10378,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-240","SRP114740","leaf"
"SRR5891644","WGS",300,7285785600,"PRJNA393611","SAMN07341580","Plant",2767307882,"YUNNAN AGRICULTURAL UNIVERSITY","public","Black Hamburg","fastq,sra","gs,s3","gs.US,s3.us-east-1","not applicable","SRX3057632","uncalculated","uncalculated","not collected","Illumina HiSeq 4000","TA-349","PAIRED","RANDOM","GENOMIC",10377,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-349","SRP114740","leaf"
"SRR5891645","WGS",300,9021261000,"PRJNA393611","SAMN07341474","Plant",3374373341,"YUNNAN AGRICULTURAL UNIVERSITY","public","Mountain Grape\, Sweet Mountain Grape","sra,fastq","gs,s3","s3.us-east-1,gs.US","not applicable","SRX3057631","uncalculated","uncalculated","not applicable","Illumina HiSeq 4000","TA-351","PAIRED","RANDOM","GENOMIC",10271,"Vitis monticola","ILLUMINA","2019-03-22T00:00:00Z","TA-351","SRP114740","leaf"
"SRR5891646","WGS",300,9767740800,"PRJNA393611","SAMN07341475","Plant",3585725795,"YUNNAN AGRICULTURAL UNIVERSITY","public","New England Grape","sra,fastq","gs,s3","gs.US,s3.us-east-1","not applicable","SRX3057630","uncalculated","uncalculated","not applicable","Illumina HiSeq 4000","TA-46","PAIRED","RANDOM","GENOMIC",10272,"Vitis x novae-angliae","ILLUMINA","2019-03-22T00:00:00Z","TA-46","SRP114740","leaf"
"SRR5891647","WGS",300,11912086200,"PRJNA393611","SAMN07341476","Plant",4641975152,"YUNNAN AGRICULTURAL UNIVERSITY","public","Katzenrebe","fastq,sra","s3,gs","s3.us-east-1,gs.US","not applicable","SRX3057629","uncalculated","uncalculated","not applicable","Illumina HiSeq 4000","TA-195","PAIRED","RANDOM","GENOMIC",10273,"Vitis palmata","ILLUMINA","2019-03-22T00:00:00Z","TA-195","SRP114740","leaf"
"SRR5891648","WGS",300,7836137700,"PRJNA393611","SAMN07341477","Plant",3161475657,"YUNNAN AGRICULTURAL UNIVERSITY","public","Frost Grape\, Riverbank Grape","fastq,sra","s3,gs","s3.us-east-1,gs.US","not applicable","SRX3057628","uncalculated","uncalculated","not applicable","Illumina HiSeq 4000","TA-196","PAIRED","RANDOM","GENOMIC",10274,"Vitis riparia","ILLUMINA","2019-03-22T00:00:00Z","TA-196","SRP114740","leaf"
"SRR5891649","WGS",300,7360674600,"PRJNA393611","SAMN07341478","Plant",2596145404,"YUNNAN AGRICULTURAL UNIVERSITY","public","Frost Grape\, Riverbank Grape","sra,fastq","gs,s3","gs.US,s3.us-east-1","not applicable","SRX3057627","uncalculated","uncalculated","not applicable","Illumina HiSeq 4000","TA-4","PAIRED","RANDOM","GENOMIC",10275,"Vitis riparia","ILLUMINA","2019-03-22T00:00:00Z","TA-4","SRP114740","leaf"
"SRR5891650","WGS",300,6932948700,"PRJNA393611","SAMN07341479","Plant",2587760240,"YUNNAN AGRICULTURAL UNIVERSITY","public","Rock Grape\, Sand Grape","fastq,sra","gs,s3","s3.us-east-1,gs.US","not applicable","SRX3057626","uncalculated","uncalculated","not applicable","Illumina HiSeq 4000","TA-198","PAIRED","RANDOM","GENOMIC",10276,"Vitis rupestris","ILLUMINA","2019-03-22T00:00:00Z","TA-198","SRP114740","leaf"
"SRR5891651","WGS",300,10643532600,"PRJNA393611","SAMN07341480","Plant",3623962319,"YUNNAN AGRICULTURAL UNIVERSITY","public","Rock Grape\, Sand Grape","fastq,sra","gs,s3","s3.us-east-1,gs.US","not applicable","SRX3057625","uncalculated","uncalculated","not applicable","Illumina HiSeq 4000","TA-2","PAIRED","RANDOM","GENOMIC",10277,"Vitis rupestris","ILLUMINA","2019-03-22T00:00:00Z","TA-2","SRP114740","leaf"
"SRR5891652","WGS",300,9657853200,"PRJNA393611","SAMN07341481","Plant",3493026806,"YUNNAN AGRICULTURAL UNIVERSITY","public","Rock Grape\, Sand Grape","sra,fastq","s3,gs","s3.us-east-1,gs.US","not applicable","SRX3057624","uncalculated","uncalculated","not applicable","Illumina HiSeq 4000","TA-5888","PAIRED","RANDOM","GENOMIC",10278,"Vitis rupestris","ILLUMINA","2019-03-22T00:00:00Z","TA-5888","SRP114740","leaf"
"SRR5891653","WGS",300,7522713300,"PRJNA393611","SAMN07341482","Plant",2618333375,"YUNNAN AGRICULTURAL UNIVERSITY","public","Rock Grape\, Sand Grape","fastq,sra","gs,s3","gs.US,s3.us-east-1","not applicable","SRX3057623","uncalculated","uncalculated","not applicable","Illumina HiSeq 4000","TA-7","PAIRED","RANDOM","GENOMIC",10279,"Vitis rupestris","ILLUMINA","2019-03-22T00:00:00Z","TA-7","SRP114740","leaf"
"SRR5891654","WGS",300,7980278700,"PRJNA393611","SAMN07341483","Plant",2921307344,"YUNNAN AGRICULTURAL UNIVERSITY","public","not applicable","fastq,sra","s3,gs","gs.US,s3.us-east-1","not applicable","SRX3057622","uncalculated","uncalculated","not applicable","Illumina HiSeq 4000","TA-6158","PAIRED","RANDOM","GENOMIC",10280,"Vitis x slavinii","ILLUMINA","2019-03-22T00:00:00Z","TA-6158","SRP114740","leaf"
"SRR5891655","WGS",300,7416591000,"PRJNA393611","SAMN07341610","Plant",2754865030,"YUNNAN AGRICULTURAL UNIVERSITY","public","Pin10-3","fastq,sra","s3,gs","s3.us-east-1,gs.US","not applicable","SRX3057621","uncalculated","uncalculated","not collected","Illumina HiSeq 4000","TA-279","PAIRED","RANDOM","GENOMIC",10407,"Vitis vinifera","ILLUMINA","2019-03-22T00:00:00Z","TA-279","SRP114740","leaf"
