sample	unit	platform	fq1	fq2
SRR5891632	TA-26	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891632_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891632_1.fastq.gzTA-26_2.fastq.gz
SRR5891633	TA-293	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891633_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891633_1.fastq.gzTA-293_2.fastq.gz
SRR5891634	TA-289	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891634_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891634_1.fastq.gzTA-289_2.fastq.gz
SRR5891635	TA-247	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891635_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891635_1.fastq.gzTA-247_2.fastq.gz
SRR5891636	TA-16	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891636_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891636_1.fastq.gzTA-16_2.fastq.gz
SRR5891637	TA-138	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891637_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891637_1.fastq.gzTA-138_2.fastq.gz
SRR5891638	TA-226	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891638_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891638_1.fastq.gzTA-226_2.fastq.gz
SRR5891639	TA-263	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891639_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891639_1.fastq.gzTA-263_2.fastq.gz
SRR5891640	TA-252	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891640_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891640_1.fastq.gzTA-252_2.fastq.gz
SRR5891641	TA-28	ILLUMINA	data/Vitis_vinifera_Liang2019/fastq/SRR5891641_1.fastq.gz	data/Vitis_vinifera_Liang2019/fastq/SRR5891641_1.fastq.gzTA-28_2.fastq.gz
